Rapid.Code,Unique.Code,Full.Sib.family,Female.ID,Female.name,Male.ID,Male.name,Juliana.Code2
PAT_014201_P01_WA01,884,1F,3 I,Argenta,78 I,UF2015AlfPer,F884
PAT_014201_P01_WA02,885,2F,3 I,Argenta,79 III,Bulldog 805,F885
PAT_014201_P01_WA03,886,3F,3 I,Argenta,93 III,AmeriStand 915,F886
PAT_014201_P01_WA04,887,4F,3 I,Argenta,96 III,Exp96,F887
PAT_014201_P01_WA05,888,5F,3 I,Argenta,120 I,FL99,F888
PAT_014201_P01_WA06,889,6F,7 III,CW660,78 I,UF2015AlfPer,F889
PAT_014201_P01_WA07,890,7F,7 III,CW660,79 III,Bulldog 805,F890
PAT_014201_P01_WA08,891,8F,7 III,CW660,93 III,AmeriStand 915,F891
PAT_014201_P01_WA09,892,9F,7 III,CW660,94 IV,Alfalfa Selection NSY,F892
PAT_014201_P01_WA10,893,10F,7 III,CW660,96 III ,Exp96,F893
PAT_014201_P01_WA11,894,11F,7 III,CW660,120 I,FL99,F894
PAT_014201_P01_WA12,895,12F,17 IV,Patriarca,78 I,UF2015AlfPer,F895
PAT_014201_P01_WB01,896,13F,17 IV,Patriarca,79 III,Bulldog 805,F896
PAT_014201_P01_WB02,897,14F,17 IV,Patriarca,93 III,AmeriStand 915,F897
PAT_014201_P01_WB03,898,15F,17 IV,Patriarca,94 IV,Alfalfa Selection NSY,F898
PAT_014201_P01_WB04,899,16F,17 IV,Patriarca,96 III,Exp96,F899
PAT_014201_P01_WB05,900,17F,17 IV,Patriarca,120 IV,FL99,F900
PAT_014201_P01_WB06,901,18F,24 II,SalinaPV,78 I,UF2015AlfPer,F901
PAT_014201_P01_WB07,902,19F,24 II,SalinaPV,79 III,Bulldog 805,F902
PAT_014201_P01_WB08,903,20F,24 II,SalinaPV,93 III,AmeriStand 915,F903
PAT_014201_P01_WB09,904,21F,24 II,SalinaPV,94 II,Alfalfa Selection NSY,F904
PAT_014201_P01_WB10,905,22F,24 II,SalinaPV,96 III,Exp96,F905
PAT_014201_P01_WB11,906,23F,33 I,WL818,78 I,UF2015AlfPer,F906
PAT_014201_P01_WB12,907,24F,33 I,WL818,79 III,Bulldog 805,F907
PAT_014201_P01_WC01,908,25F,33 I,WL818,93 III,AmeriStand 915,F908
PAT_014201_P01_WC02,909,26F,33 I,WL818,94 IV,Alfalfa Selection NSY,F909
PAT_014201_P01_WC03,910,27F,33 I,WL818,94 II,Alfalfa Selection NSY,F910
PAT_014201_P01_WC04,911,28F,33 I,WL818,96 III,Exp96,F911
PAT_014201_P01_WC05,912,29F,33 I,WL818,120 IV,FL99,F912
PAT_014201_P01_WC06,913,30F,34 IV,WL903,78 I,UF2015AlfPer,F913
PAT_014201_P01_WC07,914,31F,34 IV,WL903,79 III,Bulldog 805,F914
PAT_014201_P01_WC08,915,32F,34 IV,WL903,93 III,AmeriStand 915,F915
PAT_014201_P01_WC09,916,33F,34 IV,WL903,96 III,Exp96,F916
PAT_014201_P01_WC10,917,34F,34 IV,WL903,120 I,FL99,F917
PAT_014201_P01_WC11,918,35F,35 III,WL1058,78 I,UF2015AlfPer,F918
PAT_014201_P01_WD01,920,37F,35 III,WL1058,93 III,AmeriStand 915,F920
PAT_014201_P01_WD02,921,38F,35 III,WL1058,94 II,Alfalfa Selection NSY,F921
PAT_014201_P01_WD03,923,40F,35 III,WL1058,96 III,Exp96,F923
PAT_014201_P01_WD04,924,41F,35 III,WL1058,120 I,FL99,F924
PAT_014201_P01_WD05,925,42F,36 I,Exp Line 1273,78 I,UF2015AlfPer,F925
PAT_014201_P01_WD06,926,43F,36 I,Exp Line 1273,79 I,Bulldog 805,F926
PAT_014201_P01_WD07,927,44F,36 I,Exp Line 1273,79 III,Bulldog 805,F927
PAT_014201_P01_WD08,929,46F,36 I,Exp Line 1273,94 IV,Alfalfa Selection NSY,F929
PAT_014201_P01_WD09,930,47F,36 I,Exp Line 1273,96 I,Exp96,F930
PAT_014201_P01_WD10,931,48F,36 I,Exp Line 1273,96 III,Exp96,F931
PAT_014201_P01_WD11,932,49F,36 I,Exp Line 1273,120 I,FL99,F932
PAT_014201_P01_WD12,933,50F,37 IV,Exp Line 1281,78 I,UF2015AlfPer,F933
PAT_014201_P01_WE01,934,51F,37 IV,Exp Line 1281,79 III,Bulldog 805,F934
PAT_014201_P01_WE02,935,52F,37 IV,Exp Line 1281,93 III,AmeriStand 915,F935
PAT_014201_P01_WE03,936,53F,37 IV,Exp Line 1281,96 III,Exp96,F936
PAT_014201_P01_WE04,937,54F,37 IV,Exp Line 1281,120 IV,FL99,F937
PAT_014201_P01_WE05,938,55F,38 IV ,Exp Line 1294,78 I,UF2015AlfPer,F938
PAT_014201_P01_WE06,939,56F,38 IV ,Exp Line 1294,96 III,Exp96,F939
PAT_014201_P01_WE07,940,57F,38 IV ,Exp Line 1294,120 IV,FL99,F940
PAT_014201_P01_WE08,941,58F,43 I,Exp Line 1329,78 I,UF2015AlfPer,F941
PAT_014201_P01_WE09,942,59F,43 I,Exp Line 1329,79 III,Bulldog 805,F942
PAT_014201_P01_WE10,943,60F,43 I,Exp Line 1329,93 III,AmeriStand 915,F943
PAT_014201_P01_WE11,944,61F,43 I,Exp Line 1329,94 II,Alfalfa Selection NSY,F944
PAT_014201_P01_WE12,945,62F,43 I,Exp Line 1329,94 IV,Alfalfa Selection NSY,F945
PAT_014201_P01_WF01,946,63F,43 I,Exp Line 1329,96 III,Exp96,F946
PAT_014201_P01_WF02,947,64F,43 I,Exp Line 1329,120 I,FL99,F947
PAT_014201_P01_WF03,948,65F,55 II,Exp Line 1372,78 I,UF2015AlfPer,F948
PAT_014201_P01_WF04,949,66F,55 II,Exp Line 1372,93 III,AmeriStand 915,F949
PAT_014201_P01_WF05,950,67F,55 II,Exp Line 1372,94 II,Alfalfa Selection NSY,F950
PAT_014201_P01_WF06,951,68F,55 II,Exp Line 1372,96 III,Exp96,F951
PAT_014201_P01_WF07,952,69F,55 II,Exp Line 1372,120 IV,FL99,F952
PAT_014201_P01_WF08,953,70F,57 IV,Exp Line 1385,78 I,UF2015AlfPer,F953
PAT_014201_P01_WF09,954,71F,57 IV,Exp Line 1385,79 III,Bulldog 805,F954
PAT_014201_P01_WF10,955,72F,57 IV,Exp Line 1385,93 III,AmeriStand 915,F955
PAT_014201_P01_WF11,956,73F,57 IV,Exp Line 1385,94 IV,Alfalfa Selection NSY,F956
PAT_014201_P01_WF12,957,74F,57 IV,Exp Line 1385,94 II,Alfalfa Selection NSY,F957
PAT_014201_P01_WG01,958,75F,57 IV,Exp Line 1385,96 III,Exp96,F958
PAT_014201_P01_WG02,959,76F,57 IV,Exp Line 1385,120 I,FL99,F959
PAT_014201_P01_WG03,961,78F,58 IV,Exp Line 1387,78 I,UF2015AlfPer,F961
PAT_014201_P01_WG04,962,79F,58 IV,Exp Line 1387,79 III,Bulldog 805,F962
PAT_014201_P01_WG05,963,80F,58 IV,Exp Line 1387,93 III,AmeriStand 915,F963
PAT_014201_P01_WG06,964,81F,58 IV,Exp Line 1387,94 II,Alfalfa Selection NSY,F964
PAT_014201_P01_WG07,965,82F,58 IV,Exp Line 1387,96 III,Exp96,F965
PAT_014201_P01_WG08,966,83F,58 IV,Exp Line 1387,120 I,FL99,F966
PAT_014201_P01_WG09,967,84F,60 II,Exp Line 1389,78 I,UF2015AlfPer,F967
PAT_014201_P01_WG10,968,85F,60 II,Exp Line 1389,79 III,Bulldog 805,F968
PAT_014201_P01_WG11,969,86F,60 II,Exp Line 1389,79 I,Bulldog 805,F969
PAT_014201_P01_WG12,970,87F,60 II,Exp Line 1389,93 III,AmeriStand 915,F970
PAT_014201_P01_WH01,971,88F,60 II,Exp Line 1389,96 III,Exp96,F971
PAT_014201_P01_WH02,972,89F,60 II,Exp Line 1389,120 IV,FL99,F972
PAT_014201_P01_WH04,974,91F,62 II,Exp Line 1392,79 III,Bulldog 805,F974
PAT_014201_P01_WH05,975,92F,62 II,Exp Line 1392,94 IV,Alfalfa Selection NSY,F975
PAT_014201_P01_WH06,976,93F,62 II,Exp Line 1392,96 III,Exp96,F976
PAT_014201_P01_WH07,977,94F,62 II,Exp Line 1392,120 IV,FL99,F977
PAT_014201_P01_WH08,978,95F,63 I,Exp Line 1393,78 I,UF2015AlfPer,F978
PAT_014201_P01_WH09,979,96F,63 I,Exp Line 1393,93 III,AmeriStand 915,F979
PAT_014201_P01_WH10,980,97F,63 I,Exp Line 1393,94 IV,Alfalfa Selection NSY,F980
PAT_014201_P01_WH11,981,98F,63 I,Exp Line 1393,96 III,Exp96,F981
PAT_014201_P01_WH12,982,99F,63 I,Exp Line 1393,120 I,FL99,F982
PAT_014201_P02_WA01,983,100F,64 I,Exp Line 1394,79 III,Bulldog 805,F983
PAT_014201_P02_WA02,984,101F,64 I,Exp Line 1394,93 III,AmeriStand 915,F984
PAT_014201_P02_WA03,985,102F,64 I,Exp Line 1394,96 III,Exp96,F985
PAT_014201_P02_WA04,986,103F,64 I,Exp Line 1394,96 I,Exp96,F986
