,Ind,Par1,Par2
1,UF2015AlfPers,0,0
2,Exp96,0,0
3,FL99,0,0
4,Bulldog805,0,0
5,AlfSelNSY,0,0
6,Ameristand,0,0
7,1072,UF2015AlfPers,UF2015AlfPers
8,1073,Exp96,Exp96
9,1074,FL99,FL99
10,1075,Bulldog805,Bulldog805
11,1076,AlfSelNSY,AlfSelNSY
12,1077,Exp96,Exp96
13,1078,FL99,FL99
14,1079,AlfSelNSY,AlfSelNSY
15,1080,UF2015AlfPers,UF2015AlfPers
16,1081,Bulldog805,Bulldog805
17,1082,Ameristand,Ameristand
18,1083,Ameristand,Ameristand
19,1085,0,0
20,1086,0,0
21,1087,0,0
22,1088,0,0
23,1089,0,0
24,1090,0,0
25,1091,0,0
26,1092,0,0
27,1093,0,0
28,1094,0,0
29,1095,0,0
30,1096,0,0
31,1097,0,0
32,1098,0,0
33,1099,0,0
34,1100,0,0
35,1101,0,0
36,1102,0,0
37,1103,0,0
38,1104,0,0
39,1105,0,0
40,1106,0,0
41,1107,0,0
42,1108,0,0
43,1109,0,0
44,1110,0,0
45,1111,0,0
46,884,1085,1072
47,885,1085,1081
48,886,1085,1083
49,887,1085,1077
50,888,1085,1074
51,889,1086,1072
52,890,1086,1081
53,891,1086,1083
54,892,1086,1079
55,893,1086,1077
56,894,1086,1074
57,895,1087,1072
58,896,1087,1081
59,897,1087,1083
60,898,1087,1079
61,899,1087,1077
62,900,1087,1078
63,901,1088,1072
64,902,1088,1081
65,903,1088,1083
66,904,1088,1076
67,905,1088,1077
68,906,1089,1072
69,907,1089,1081
70,908,1089,1083
71,909,1089,1079
72,910,1089,1076
73,911,1089,1077
74,912,1089,1078
75,913,1090,1072
76,914,1090,1081
77,915,1090,1083
78,916,1090,1077
79,917,1090,1074
80,918,1091,1072
81,919,1091,1081
82,920,1091,1083
83,921,1091,1076
84,923,1091,1077
85,924,1091,1074
86,925,1092,1072
87,926,1092,1075
88,927,1092,1081
89,929,1092,1079
90,930,1092,1073
91,931,1092,1077
92,932,1092,1074
93,933,1093,1072
94,934,1093,1081
95,935,1093,1083
96,936,1093,1077
97,937,1093,1078
98,938,1094,1072
99,939,1094,1077
100,940,1094,1078
101,941,1095,1072
102,942,1095,1081
103,943,1095,1083
104,944,1095,1076
105,945,1095,1079
106,946,1095,1077
107,947,1095,1074
108,948,1096,1072
109,949,1096,1083
110,950,1096,1076
111,951,1096,1077
112,952,1096,1078
113,953,1097,1072
114,954,1097,1081
115,955,1097,1083
116,956,1097,1079
117,957,1097,1076
118,958,1097,1077
119,959,1097,1074
120,961,1098,1072
121,962,1098,1081
122,963,1098,1083
123,964,1098,1076
124,965,1098,1077
125,966,1098,1074
126,967,1099,1072
127,968,1099,1081
128,969,1099,1075
129,970,1099,1083
130,971,1099,1077
131,972,1099,1078
132,973,1100,1072
133,974,1100,1081
134,975,1100,1079
135,976,1100,1077
136,977,1100,1078
137,978,1101,1072
138,979,1101,1083
139,980,1101,1079
140,981,1101,1077
141,982,1101,1074
142,983,1102,1081
143,984,1102,1083
144,985,1102,1077
145,986,1102,1073
146,987,1102,1078
147,988,1103,1072
148,989,1103,1081
149,990,1103,1083
150,991,1103,1076
151,992,1103,1079
152,993,1103,1077
153,994,1104,1072
154,995,1104,1081
155,996,1104,1083
156,997,1104,1079
157,998,1104,1077
158,999,1105,1072
159,1000,1105,1081
160,1001,1105,1083
161,1002,1105,1079
162,1003,1105,1077
163,1004,1106,1072
164,1005,1106,1081
165,1006,1106,1083
166,1007,1106,1082
167,1008,1106,1079
168,1009,1106,1076
169,1010,1106,1077
170,1011,1106,1078
171,1012,1107,1072
172,1013,1107,1077
173,1014,1107,1074
174,1015,1108,1072
175,1016,1108,1083
176,1017,1109,1072
177,1018,1109,1081
178,1019,1109,1083
179,1020,1109,1077
180,1021,1110,1072
181,1022,1110,1081
182,1023,1110,1083
183,1024,1110,1077
184,1027,1111,1072
185,1028,1111,1081
186,1029,1111,1083
187,1030,1111,1076
188,1031,1111,1077
189,1032,1111,1074
190,1033,1085,0
191,1034,1086,0
192,1035,1087,0
193,1036,1088,0
194,1037,1089,0
195,1038,1090,0
196,1039,1091,0
197,1040,1092,0
198,1041,1093,0
199,1043,1095,0
200,1044,1096,0
201,1045,1097,0
202,1046,1098,0
203,1047,1099,0
204,1048,1100,0
205,1049,1101,0
206,1050,1102,0
207,1051,1103,0
208,1052,1104,0
209,1053,1105,0
210,1054,1106,0
211,1055,1107,0
212,1056,1108,0
213,1057,1109,0
214,1058,1110,0
215,1059,1111,0
216,1060,1072,0
217,1061,1081,0
218,1062,1075,0
219,1063,1083,0
220,1064,1076,0
221,1065,1079,0
222,1066,1077,0
223,1067,1074,0
224,1068,1078,0
