"","Family","Sample","Female.name","Male.name","groups_dapc","sg","Juliana.Code2","DM_kg_ha"
"1","100F","PAT_014201_P002_WA01","Exp Line 1394","Bulldog 805",5,4,"F983",3055.8
"2","101F","PAT_014201_P002_WA02","Exp Line 1394","AmeriStand 915",2,2,"F984",2094.92222222222
"3","102F","PAT_014201_P002_WA03","Exp Line 1394","Exp96",1,3,"F985",2273.55
"4","103F","PAT_014201_P002_WA04","Exp Line 1394","Exp96",6,8,"F986",3021.75333333333
"5","104F","PAT_014201_P002_WA05","Exp Line 1394","FL99",6,4,"F987",3323.12666666667
"6","105F","PAT_014201_P002_WA06","Exp Line 1407","UF2015AlfPer",4,4,"F988",4070.07333333333
"7","106F","PAT_014201_P002_WA07","Exp Line 1407","Bulldog 805",5,5,"F989",3339.73
"8","107F","PAT_014201_P002_WA08","Exp Line 1407","AmeriStand 915",2,10,"F990",1665.21833333333
"9","108F","PAT_014201_P002_WA09","Exp Line 1407","Alfalfa Selection NSY",3,1,"F991",4144.88333333333
"10","109F","PAT_014201_P002_WA10","Exp Line 1407","Alfalfa Selection NSY",6,1,"F992",1901.44666666667
"11","10F","PAT_014201_P001_WA10","CW660","Exp96",1,3,"F893",3204.41333333333
"12","110F","PAT_014201_P002_WA11","Exp Line 1407","Exp96",1,1,"F993",1603.61
"13","111F","PAT_014201_P002_WA12","Exp Line 1666","UF2015AlfPer",4,7,"F994",4493.89
"14","112F","PAT_014201_P002_WB01","Exp Line 1666","Bulldog 805",5,1,"F995",2639.84333333333
"15","113F","PAT_014201_P002_WB02","Exp Line 1666","AmeriStand 915",2,2,"F996",2307.96777777778
"16","114F","PAT_014201_P002_WB03","Exp Line 1666","Alfalfa Selection NSY",6,6,"F997",3250.71666666667
"17","115F","PAT_014201_P002_WB04","Exp Line 1666","Exp96",1,2,"F998",3319.38166666667
"18","116F","PAT_014201_P002_WB05","Alfalfa Creoula","UF2015AlfPer",4,10,"F999",2679.72333333333
"19","117F","PAT_014201_P002_WB06","Alfalfa Creoula","Bulldog 805",5,7,"F1000",4322.36
"20","118F","PAT_014201_P002_WB07","Alfalfa Creoula","AmeriStand 915",2,2,"F1001",3032.00666666667
"21","119F","PAT_014201_P002_WB08","Alfalfa Creoula","Alfalfa Selection NSY",3,7,"F1002",4435.89333333333
"22","11F","PAT_014201_P001_WA11","CW660","FL99",3,7,"F894",3970.93666666667
"23","11H","PAT_014201_P002_WE10","I","0",6,10,"F1043",1624.39777777778
"24","120F","PAT_014201_P002_WB09","Alfalfa Creoula","Exp96",1,1,"F1003",2869.12111111111
"25","121F","PAT_014201_P002_WB10","A1086","UF2015AlfPer",6,2,"F1004",3509.47333333333
"26","122F","PAT_014201_P002_WB11","A1086","Bulldog 805",5,3,"F1005",1886.94
"27","123F","PAT_014201_P002_WB12","A1086","AmeriStand 915",6,8,"F1006",3053.13333333333
"28","124F","PAT_014201_P002_WC01","A1086","93 I",6,1,"F1007",2726.43833333333
"29","125F","PAT_014201_P002_WC02","A1086","Alfalfa Selection NSY",6,7,"F1008",4121.34333333333
"30","126F","PAT_014201_P002_WC03","A1086","Alfalfa Selection NSY",3,7,"F1009",4456.22
"31","127F","PAT_014201_P002_WC04","A1086","Exp96",1,7,"F1010",3064.00666666667
"32","128F","PAT_014201_P002_WC05","A1086","FL99",6,3,"F1011",3780.39166666667
"33","129F","PAT_014201_P002_WC06","CW39104","UF2015AlfPer",4,2,"F1012",1685.145
"34","12F","PAT_014201_P001_WA12","Patriarca","UF2015AlfPer",4,7,"F895",5211.26333333333
"35","12H","PAT_014201_P002_WE11","II","0",6,5,"F1044",2623.63888888889
"36","130F","PAT_014201_P002_WC07","CW39104","Exp96",1,7,"F1013",2675.36222222222
"37","131F","PAT_014201_P002_WC08","CW39104","FL99",3,8,"F1014",2928.63166666667
"38","132F","PAT_014201_P002_WC09","CW060097","UF2015AlfPer",4,4,"F1015",2322.09833333333
"39","133F","PAT_014201_P002_WC10","CW060097","AmeriStand 915",2,3,"F1016",3546.56333333333
"40","134F","PAT_014201_P002_WC11","CUF 101","UF2015AlfPer",4,3,"F1017",3256.22555555556
"41","135F","PAT_014201_P002_WC12","CUF 101","Bulldog 805",5,2,"F1018",3073.28222222222
"42","136F","PAT_014201_P002_WD01","CUF 101","AmeriStand 915",2,1,"F1019",2926.35111111111
"43","137F","PAT_014201_P002_WD02","CUF 101","Exp96",1,5,"F1020",2597.82111111111
"44","138F","PAT_014201_P002_WD03","Moapa69","UF2015AlfPer",4,8,"F1021",2909.775
"45","139F","PAT_014201_P002_WD04","Moapa69","Bulldog 805",5,10,"F1022",3760.07666666667
"46","13F","PAT_014201_P001_WB01","Patriarca","Bulldog 805",5,3,"F896",4968.14
"47","13H","PAT_014201_P002_WE12","IV","0",6,9,"F1045",2989.61
"48","140F","PAT_014201_P002_WD05","Moapa69","AmeriStand 915",2,5,"F1023",2650.23777777778
"49","141F","PAT_014201_P002_WD06","Moapa69","Exp96",1,6,"F1024",3605.845
"50","144F","PAT_014201_P002_WD07","PGI908-S","UF2015AlfPer",4,4,"F1027",3501.10166666667
"51","145F","PAT_014201_P002_WD08","PGI908-S","Bulldog 805",5,8,"F1028",1392.75166666667
"52","146F","PAT_014201_P002_WD09","PGI908-S","AmeriStand 915",2,7,"F1029",2835.05111111111
"53","147F","PAT_014201_P002_WD10","PGI908-S","Alfalfa Selection NSY",3,8,"F1030",2215.93333333333
"54","148F","PAT_014201_P002_WD11","PGI908-S","Exp96",1,2,"F1031",3076.32888888889
"55","149F","PAT_014201_P002_WD12","PGI908-S","FL99",4,6,"F1032",4769.97222222222
"56","14F","PAT_014201_P001_WB02","Patriarca","AmeriStand 915",2,3,"F897",2568.22
"57","14H","PAT_014201_P002_WF01","IV","0",6,2,"F1046",2958.70888888889
"58","15F","PAT_014201_P001_WB03","Patriarca","Alfalfa Selection NSY",6,8,"F898",3906.63888888889
"59","15H","PAT_014201_P002_WF02","II","0",6,6,"F1047",2543.72666666667
"60","16F","PAT_014201_P001_WB04","Patriarca","Exp96",1,3,"F899",2792.51666666667
"61","16H","PAT_014201_P002_WF03","II","0",6,6,"F1048",4473.73777777778
"62","17F","PAT_014201_P001_WB05","Patriarca","FL99",6,3,"F900",3794.98777777778
"63","17H","PAT_014201_P002_WF04","I","0",6,10,"F1049",3282.48666666667
"64","18F","PAT_014201_P001_WB06","SalinaPV","UF2015AlfPer",4,10,"F901",3601.48555555556
"65","18H","PAT_014201_P002_WF05","I","0",6,7,"F1050",1119.57333333333
"66","19F","PAT_014201_P001_WB07","SalinaPV","Bulldog 805",5,9,"F902",2076.09666666667
"67","19H","PAT_014201_P002_WF06","III","0",6,2,"F1051",3737.02333333333
"68","1F","PAT_014201_P001_WA01","Argenta","UF2015AlfPer",4,1,"F884",3433.32
"69","1H","PAT_014201_P002_WE01","I","0",6,1,"F1033",3252.87555555556
"70","20F","PAT_014201_P001_WB08","SalinaPV","AmeriStand 915",2,8,"F903",1944.19888888889
"71","20H","PAT_014201_P002_WF07","II","0",6,7,"F1052",3692.08777777778
"72","21F","PAT_014201_P001_WB09","SalinaPV","Alfalfa Selection NSY",6,1,"F904",2577.22666666667
"73","21H","PAT_014201_P002_WF08","III","0",6,2,"F1053",1795.16222222222
"74","22F","PAT_014201_P001_WB10","SalinaPV","Exp96",1,8,"F905",4046.41833333333
"75","22H","PAT_014201_P002_WF09","I","0",6,1,"F1054",3237.30888888889
"76","23F","PAT_014201_P001_WB11","WL818","UF2015AlfPer",4,1,"F906",3949.09444444444
"77","23H","PAT_014201_P002_WF10","IV","0",6,3,"F1055",3243.45444444444
"78","24F","PAT_014201_P001_WB12","WL818","Bulldog 805",5,1,"F907",2475.12666666667
"79","24H","PAT_014201_P002_WF11","III","0",6,10,"F1056",2832.07111111111
"80","25F","PAT_014201_P001_WC01","WL818","AmeriStand 915",2,5,"F908",3232.27777777778
