Plot,Harvest,Row ,Column ,Family,FamC,Type,flowering_%,AH_cm,Dis0_9,TFW_g,SFW_g,SDW_g,Dry_fresh,TDW_g,DM_kg_ha
1435,1,14,1,76F,Family,family,90,62,NA,750,750,189.9,0.25,189.9,4128.3
1434,1,14,2,20F,Family,family,90,52,NA,550,550,129.4,0.24,129.4,2813
1433,1,14,3,36F,Family,family,100,57,NA,300,300,69.8,0.23,69.8,1517.4
1432,1,14,4,139F,Family,family,100,62,NA,750,615,138,0.22,168.29,3658.5
1431,1,14,5,33F,Family,family,100,70,NA,1150,650,142.5,0.22,252.12,5480.8
1430,1,14,6,25_H,Family,family,90,60,NA,580,580,133,0.23,133,2891.3
1429,1,14,7,116F,Family,family,90,55,NA,506,506,122.8,0.24,122.8,2669.6
1428,1,14,8,58F,Family,family,100,66,NA,874,425,101.1,0.24,207.91,4519.8
1427,1,14,9,14_H,Family,family,85,50,NA,506,506,126.2,0.25,126.2,2743.5
1426,1,14,10,57F,Family,family,100,55,NA,690,690,163.8,0.24,163.8,3560.9
1425,1,14,11,3_H,Family,family,100,43,NA,512,512,129.3,0.25,129.3,2810.9
1424,1,14,12,9_H,Family,family,90,53,NA,426,426,104.9,0.25,104.9,2280.4
1423,1,14,13,138F,Family,family,100,60,NA,594,594,156.6,0.26,156.6,3404.3
1422,1,14,14,70F,Family,family,100,53,NA,408,408,114.2,0.28,114.2,2482.6
1421,1,14,15,16F,Family,family,90,48,NA,508,508,138.4,0.27,138.4,3008.7
1420,1,14,16,93F,Family,family,100,65,NA,715,715,169.6,0.24,169.6,3687
1419,1,14,17,13_H,Family,family,100,66,NA,570,570,125,0.22,125,2717.4
1418,1,14,18,UF2015,UF2015,check,100,75,NA,1295,575,122.8,0.21,276.57,6012.3
1417,1,14,19,11F,Family,family,30,63,NA,1370,720,134.6,0.19,256.11,5567.7
1416,1,14,20,12F,Family,family,50,65,NA,1290,580,124.7,0.22,277.35,6029.3
1415,1,14,21,27_H,Family,family,50,70,NA,1354,750,148.4,0.2,267.91,5824.2
1414,1,14,22,24_H,Family,family,90,68,NA,1045,460,91,0.2,206.73,4494.1
1413,1,14,23,126F,Family,family,100,70,NA,1396,526,108,0.21,286.63,6231.1
1412,1,14,24,31_H,Family,family,90,66,NA,1352,622,119,0.19,258.66,5623.1
1411,1,14,25,B_805,B_805,check,70,60,NA,1370,730,144.2,0.2,270.62,5883.1
1410,1,14,26,16_H,Family,family,90,67,NA,1468,528,111.8,0.21,310.84,6757.3
1409,1,14,27,15F,Family,family,100,55,NA,971,699,142.3,0.2,197.67,4297.2
1408,1,14,28,23_H,Family,family,80,57,NA,939,659,139,0.21,198.06,4305.6
1407,1,14,29,22F,Family,family,100,62,NA,1845,859,167.4,0.19,359.55,7816.3
1406,1,14,30,28_H,Family,family,50,70,NA,1454,900,180.8,0.2,292.09,6349.8
1405,1,14,31,FL99,Family,check,100,70,NA,1786,746,147.5,0.2,353.13,7676.7
1404,1,13,31,3_H,Family,family,20,55,NA,850,706,153.8,0.22,185.17,4025.4
